0,1,2,3,4
0.3953953,0.701626,0.081490695,0.53770757,0.6827425
0.29479977,0.397128,0.72059864,0.9216427,0.03992272
0.042154897,0.5684415,0.595601,1.0892457,0.09929096
0.5895627,0.690833,0.39227197,0.5924251,0.30969724
0.1966535,0.42387083,0.5660573,0.5830066,0.6351107
0.43633297,0.66405386,0.2608042,0.005229865,0.9154827
0.70747375,0.7053085,0.019930074,0.37824032,0.62226075
0.6887472,0.5469586,0.44589534,0.33686078,0.37081197
0.77384055,0.009254364,0.4656106,0.45066845,0.9473454
0.58424234,0.5806287,0.37015268,0.3433059,0.64619267
0.20760724,0.8773439,0.4724144,0.43972448,0.22510405
0.6694903,0.024711343,0.45253044,0.85918236,0.47292757
0.40082812,0.29420823,0.6432164,0.59529626,0.56494105
0.56887347,0.46434182,0.48419642,0.25569153,0.8960761
0.39974457,0.5280561,0.4180307,0.20660633,0.6903496
0.47814617,0.7330167,0.05327292,0.30102843,0.85565215
0.21099478,0.7126368,0.2889327,0.42827126,0.5805137
0.48186424,0.7464295,0.3895067,0.2629481,0.55888504
0.4580981,0.86584884,0.31917456,0.73488784,0.20208314
0.44506085,0.6128735,0.60555184,0.22715126,0.5776587
0.57256323,0.32997468,0.6830952,0.63534135,0.25007087
0.2929265,0.5956771,0.3511809,0.65424526,0.6021457
0.39824152,0.55178636,0.52256083,0.33116782,0.32141155
0.49374336,0.43879417,0.5559525,0.4487035,0.5027319
0.098513044,1.1406138,0.38175488,0.19954684,0.40052816
0.035282884,0.29156968,0.86350465,0.8173841,0.5684883
0.27600363,0.56313246,0.77834755,0.6356642,0.0654583
0.50579715,0.6080652,0.45596007,0.057025537,0.4983643
0.7440763,0.21705294,0.72034633,0.082599856,0.5941811
0.19480696,0.57270783,0.17138076,1.1088902,0.6317098
0.53116935,0.5866008,0.45663342,0.60775435,0.4625709
0.6891693,0.5563059,0.13366942,0.2574529,0.7899169
0.4145513,0.53374946,0.5035365,0.19018778,0.57970387
0.38545024,0.7329723,0.290789,0.7321151,0.4001649
0.29170144,0.6515024,0.52635294,0.49736044,0.24189888
0.5384813,0.35776126,0.6372904,0.668679,0.27392775
0.19041789,0.48156488,0.5674951,0.5523793,0.56112045
0.18290198,0.6571401,0.70402116,0.48504445,0.090263434
0.52042663,0.74420726,0.3395487,0.508109,0.33221713
0.47074312,0.37426016,0.84433687,0.6321909,0.1302967
0.6550168,0.73044,0.39186355,0.63970244,0.004885058
0.70287573,0.19806692,0.692685,0.12855493,0.56555194
0.40348482,0.795418,0.41649786,0.5308239,0.2448667
0.8207337,0.23964907,0.47942248,0.60722506,0.47061092
0.29863167,0.6353939,0.41800794,0.59594357,0.61426026
0.62029976,0.5634821,0.33634445,0.28227535,0.59326005
0.70537,0.4979209,0.5232708,0.61720586,0.20267206
0.29999205,0.59168607,0.34889483,0.5314883,0.6548217
0.16686635,0.5751413,0.5471187,0.76766324,0.46116766
0.44407406,0.66716534,0.40861303,0.48773178,0.749537
0.90052223,0.091999196,0.97726995,0.3252684,0.07016326
0.1501637,0.7771264,0.59451497,0.5368877,0.21356873
0.53169906,0.33981922,0.4936081,0.5686876,0.4905414
0.832119,0.21185556,0.22348812,1.070939,0.35338622
0.5494731,0.114665225,0.58435243,0.639805,0.76808524
0.36769205,0.70037484,0.06786595,0.79823035,0.6717613
0.77811843,0.51820236,0.30217102,0.17544442,0.6729409
0.22713006,0.4816584,0.62586915,0.5124215,0.5414859
0.55579686,0.31533486,0.4802957,0.5614808,0.45058212
0.43702045,0.78727037,0.5278778,0.36804506,0.3417496
0.5919604,0.7502592,0.14150377,0.61685014,0.70656544
0.42156434,0.55210656,0.4421324,0.5182828,0.34863108
0.024186622,0.90271825,0.56687695,0.44917476,0.22363229
0.18429519,0.7486646,0.5409906,0.656167,0.07932844
0.3968526,0.5905988,0.6474566,0.5357197,0.015241714
0.26773164,0.64375347,0.15770118,0.6493709,0.65414757
0.552043,0.41809788,0.7727874,0.3363272,0.028370816
0.7138514,0.56504977,0.44622824,0.63668644,0.12704739
0.4134046,0.65959257,0.46736678,0.28699672,0.40790403
0.5362762,0.55538803,0.40333784,0.55441195,0.39844814
0.5249129,0.64886004,0.4581891,0.30363092,0.6689737
0.11641526,0.691684,0.5040283,0.69465715,0.5239508
0.38034996,0.82361096,0.14013588,0.8017272,0.4933687
0.10692796,0.76938456,0.52641594,0.33616933,0.5446344
0.58253986,0.51557976,0.18100385,0.8208768,0.29772162
0.4954951,0.24397214,0.7029729,0.763233,0.10623009
